"state_abbr","year","fiscal_year","leg_total","leg_sales","leg_income","leg_corporate","leg_cigarette_tobacco","leg_fuel","leg_alcohol","leg_others","leg_fees","gov_total","gov_sales","gov_income","gov_corporate","gov_cigarette_tobacco","gov_fuel","gov_alcohol","gov_others","gov_fees","personal_income","population","taxes_last_year","percent_change_personal_income","percent_change_population","estimated_imbalance","state","gov_party","house_dem_share","senate_dem_share","citizen_ideology","year_of_biennium","ranney_10yrs","change_in_gov_party","change_in_house_dem_share","change_in_senate_dem_share","change_in_citizen_ideology"
"AL",1987,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,4,3.2,6.25,0,149,"Alabama","Republican",0.847619,0.857143,38.5169,"First Year of Biennium",0.845323,NA,NA,NA,NA
"AL",1988,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,4,3.4,7.84,0,8,"Alabama","Republican",0.847619,0.857143,45.0299,"Second Year of Biennium",0.818857,"No Change",0,0,6.513
"AL",1989,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,4.1,3.7,9.09,0,67,"Alabama","Republican",0.833333,0.823529,37.4725,"First Year of Biennium",0.792391,"No Change",-0.0142857,-0.0336135,-7.55745
"AL",1990,1991,0.434795,0,0,0,0,0,0,1.37367,0,0.460759,0,0,0,0,0,0,1.21157,0,0.067,4.1,3.8,5,2.5,-3,"Alabama","Republican",0.833333,0.823529,33.8353,"Second Year of Biennium",0.764153,"No Change",0,0,-3.63713
"AL",1991,1992,0.198303,0,0,0,0,0,0,0.626507,0,0,0,0,0,0,0,0,0,0,0.072,4.2,3.9,6.35,0,0,"Alabama","Republican",0.790476,0.8,39.8091,"First Year of Biennium",0.735915,"No Change",-0.0428571,-0.0235294,5.97373
"AL",1992,1993,0.836992,0,0,0,0,5.08494,0,0,0,3.94139,1.43319,1.86248,2.111,0,0,0,4.38474,0,0.075,4.2,4.2,7.46,2.44,32,"Alabama","Republican",0.780952,0.8,39.6221,"Second Year of Biennium",0.726794,"No Change",-0.0095238,0,-0.18696
"AL",1993,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,4.3,4.6,4.17,0,119,"Alabama","Democrat",0.780952,0.8,39.0171,"First Year of Biennium",0.717673,"Change",0,0,-0.60498
"AL",1994,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,4.3,4.8,5.33,2.38,0,"Alabama","Democrat",0.780952,0.771429,39.4149,"Second Year of Biennium",0.690754,"No Change",0,-0.0285714,0.39781
"AL",1995,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,4.3,5.1,6.33,0,43,"Alabama","Republican",0.704762,0.657143,33.4299,"First Year of Biennium",0.663834,"Change",-0.0761905,-0.114286,-5.98507
"AL",1996,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,4.4,5.3,4.76,0,46,"Alabama","Republican",0.695238,0.657143,29.3992,"Second Year of Biennium",0.656763,"No Change",-0.0095238,0,-4.03064
"AL",1997,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,4.4,5.5,4.55,2.33,0,"Alabama","Republican",0.685714,0.647059,36.0279,"First Year of Biennium",0.649691,"No Change",-0.0095238,-0.010084,6.62863
"AL",1998,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4.4,5.7,6.52,0,34,"Alabama","Republican",0.676191,0.628571,41.3529,"Second Year of Biennium",0.656009,"No Change",-0.0095238,-0.0184874,5.32505
"AL",1999,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,4.5,6,2.04,0,38,"Alabama","Democrat",0.657143,0.657143,43.8336,"First Year of Biennium",0.662327,"Change",-0.0190477,0.0285714,2.48068
"AL",2000,2001,0,0,0,0,0,0,0,0,0,0.348187,0,0,1.46527,0,0,0,0,0.610316,0.11,4.5,6.4,10,2.27,20,"Alabama","Democrat",0.657143,0.657143,32.0958,"Second Year of Biennium",0.670418,"No Change",0,0,-11.7378
"AL",2001,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,4.5,6.7,0,0,25,"Alabama","Democrat",0.650485,0.657143,34.7319,"First Year of Biennium",0.678508,"No Change",-0.00665741,0,2.63618
"AL",2002,2003,0,0,0,0,0,0,0,0,0,0.0783613,0,0,0,0,0,0,0,0.640988,0.12,4.5,6.5,9.09,0,15,"Alabama","Democrat",0.638095,0.685714,33.7788,"Second Year of Biennium",0.659839,"No Change",-0.0123902,0.0285715,-0.95309
"AL",2003,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,4.5,6.4,0,0,51,"Alabama","Republican",0.609524,0.714286,28.7081,"First Year of Biennium",0.641169,"Change",-0.0285714,0.0285714,-5.07078
"AL",2004,2005,0.853732,0.193524,0,0,2.8585,0,0,0.888501,0.331553,0.386559,0,0,0,0,0,0,0.597919,1.30201,0.14,4.6,7,8.33,0,421,"Alabama","Republican",0.6,0.714286,39.1434,"Second Year of Biennium",0.6403,"No Change",-0.0095238,0,10.4353
"AL",2005,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,4.6,7.8,7.69,2.22,354,"Alabama","Republican",0.607843,0.714286,40.3181,"First Year of Biennium",0.63943,"No Change",0.00784313,0,1.17474
"AL",2006,2007,0,0,0,0,0,0,0,0,0,-0.119847,-0.0247858,-0.171786,0,0,0,0,0,0,0.15,4.7,8.5,0,0,639,"Alabama","Republican",0.6,0.714286,40.3142,"Second Year of Biennium",0.63468,"No Change",-0.00784313,0,-0.00389
"AL",2007,2008,0,0,0,0,0,0,0,0,0,-0.189575,-0.0811606,-0.205082,-0.130273,0,0,0,0,0,0.16,4.7,8.9,7.14,2.17,185,"Alabama","Republican",0.590476,0.657143,47.2558,"First Year of Biennium",0.62993,"No Change",-0.0095238,-0.0571429,6.9416
"AL",2008,2009,-0.0502195,0,-0.570192,1.15935,0,0,0,0,0,0.0559724,0,-0.0974221,-0.125536,0,0,0,0.36795,0,0.16,4.8,9.1,6.67,0,49,"Alabama","Republican",0.590476,0.628571,48.3692,"Second Year of Biennium",0.611791,"No Change",0,-0.0285714,1.11341
"AL",2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,4.8,8.3,0,2.13,0,"Alabama","Republican",0.590476,0.59375,27.263,"First Year of Biennium",0.593652,"No Change",0,-0.0348214,-21.1062
"AL",2010,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,4.8,8.2,0,0,38,"Alabama","Republican",0.571429,0.6,19.2529,"Second Year of Biennium",0.550914,"No Change",-0.0190476,0.00624999,-8.01013
"AL",2011,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,4.8,8.6,5.07,0.03,51,"Alabama","Republican",0.409524,0.352941,36.0237,"First Year of Biennium",NA,"No Change",-0.161905,-0.247059,16.7708
"AK",1987,1988,0,0,0,0,0,0,0,0,0,10.9973,0,11.8522,0,0,0,0,9.89284,0,0.011,0.541984,1.1,-9.09,-0.91,95,"Alaska","Democrat",0.6,0.4,54.9775,"First Year of Biennium",0.497507,NA,NA,NA,NA
"AK",1988,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.54716,1.3,10,0.5,-152,"Alaska","Democrat",0.6,0.4,53.8658,"Second Year of Biennium",0.499234,"No Change",0,0,-1.11169
"AK",1989,1990,4.51976,0,0,0,0.854265,0,0,13.4862,0,5.22992,2.27878,0,0,0,5.50888,0,8.37087,0,0.013,0.55329,1.4,9.09,0.96,268,"Alaska","Democrat",0.6,0.4,46.6984,"First Year of Biennium",0.500961,"No Change",0,0,-7.16739
"AK",1990,1991,0,0,0,0,0,0,0,0,0,0.721577,0,0,0,0,4.72474,0,0,0,0.013,0.570193,1.5,8.33,1.12,838,"Alaska","Democrat",0.6,0.4,54.967,"Second Year of Biennium",0.504622,"No Change",0,0,8.26865
"AK",1995,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.608569,1.9,6.67,0.18,0,"Alaska","Democrat",0.435897,0.4,30.476,"First Year of Biennium",0.500378,"No Change",-0.164103,0,-24.4911
"AK",1996,1997,0,0,0,0,0,0,0,0,0,1.88883,0,0,0,4.91784,5.83644,4.80622,0,1.38881,0.017,0.612968,1.5,0,0.69,0,"Alaska","Democrat",0.435897,0.4,37.0107,"Second Year of Biennium",0.492888,"No Change",0,0,6.53475
"AK",1997,1998,0.483363,0,0,0,2.44369,0.667398,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.619932,1.6,6.25,0.72,NA,"Alaska","Democrat",0.375,0.35,31.8401,"First Year of Biennium",0.485398,"No Change",-0.0608974,-0.05,-5.17061
"AK",1998,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.624779,1.2,0,1.14,0,"Alaska","Democrat",0.375,0.3,36.3019,"Second Year of Biennium",0.481098,"No Change",0,-0.05,4.46178
