stateno,state_name,state_icpsr,state_fips,state_abrev,elect_year,sen_prop_up,hs_prop_up,ranney1_sen_dem_prop,ranney2_hs_dem_prop,ranney3_gub_prop,ranney4_control,ranney4_control_alt,ranney1_sen_dem_prop_4yr,ranney2_hs_dem_prop_4yr,ranney3_gub_prop_4yr,ranney4_control_4yr,ranney4_control_alt_4yr,ranney1_sen_dem_prop_6yr,ranney2_hs_dem_prop_6yr,ranney3_gub_prop_6yr,ranney4_control_6yr,ranney4_control_alt_6yr,ranney1_sen_dem_prop_8yr,ranney2_hs_dem_prop_8yr,ranney3_gub_prop_8yr,ranney4_control_8yr,ranney4_control_alt_8yr,ranney1_sen_dem_prop_10yr,ranney2_hs_dem_prop_10yr,ranney3_gub_prop_10yr,ranney4_control_10yr,ranney4_control_alt_10yr,ranney_4yrs,ranney_6yrs,ranney_8yrs,ranney_10yrs,ranney_4yrs_alt,ranney_6yrs_alt,ranney_8yrs_alt,ranney_10yrs_alt,folded_ranney_4yrs,folded_ranney_6yrs,folded_ranney_8yrs,folded_ranney_10yrs,folded_ranney_alt_4yrs,folded_ranney_alt_6yrs,folded_ranney_alt_8yrs,folded_ranney_alt_10yrs,hvd1_winper_4yr,hvd2_winmargin_4yr,hvd3_uncont_4yr,hvd4_safeseat_4yr,unusable_seats_4yr_per,hvd1_winper_6yr,hvd2_winmargin_6yr,hvd3_uncont_6yr,hvd4_safeseat_6yr,unusable_seats_6yr_per,hvd1_winper_8yr,hvd2_winmargin_8yr,hvd3_uncont_8yr,hvd4_safeseat_8yr,unusable_seats_8yr_per,hvd1_winper_10yr,hvd2_winmargin_10yr,hvd3_uncont_10yr,hvd4_safeseat_10yr,unusable_seats_10yr_per,hvd_4yr,hvd_6yr,hvd_8yr,hvd_10yr,sf_hvd_4yr,sf_ranney_4yr,sf_hvd_8yr,sf_ranney_8yr,sf_hvd_10yr,sf_ranney_10yr
1,Alabama,41,1,AL,1938,1,1,1,0.990566,0.8752,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1939,0,0,1,0.990566,0.8752,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1940,0,0,1,0.990566,0.8752,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1941,0,0,1,0.990566,0.8752,1,1,1,0.990566,0.8752,1,1,,,,,,,,,,,,,,,,0.9664415,,,,0.9664415,,,,0.5335585,,,,0.5335585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1942,1,1,1,0.990566,0.8942,1,1,1,0.990566,0.87995,1,1,,,,,,,,,,,,,,,,0.967629,,,,0.967629,,,,0.532371,,,,0.532371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1943,0,0,1,0.990566,0.8942,1,1,1,0.990566,0.8847,1,1,1,0.990566,0.8815333,1,1,,,,,,,,,,,0.9688165,0.9680248,,,0.9688165,0.9680248,,,0.5311835,0.5319752,,,0.5311835,0.5319752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1944,0,0,1,0.990566,0.8942,1,1,1,0.990566,0.88945,1,1,1,0.990566,0.8847,1,1,,,,,,,,,,,0.970004,0.9688165,,,0.970004,0.9688165,,,0.529996,0.5311835,,,0.529996,0.5311835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1945,0,0,1,0.990566,0.8942,1,1,1,0.990566,0.8942,1,1,1,0.990566,0.8878667,1,1,1,0.990566,0.8847,1,1,,,,,,0.9711915,0.9696082,0.9688165,,0.9711915,0.9696082,0.9688165,,0.5288085,0.5303918,0.5311835,,0.5288085,0.5303918,0.5311835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1946,1,1,1,0.990566,0.8867,1,1,1,0.990566,0.892325,1,1,1,0.990566,0.8897833,1,1,1,0.990566,0.8861375,1,1,,,,,,0.9707227,0.9700873,0.9691759,,0.9707227,0.9700873,0.9691759,,0.5292773,0.5299127,0.5308241,,0.5292773,0.5299127,0.5308241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1947,0,0,1,0.990566,0.8867,1,1,1,0.990566,0.89045,1,1,1,0.990566,0.8917,1,1,1,0.990566,0.887575,1,1,1,0.990566,0.8851,1,1,0.970254,0.9705665,0.9695352,0.9689165,0.970254,0.9705665,0.9695352,0.9689165,0.529746,0.5294335,0.5304648,0.5310835,0.529746,0.5294335,0.5304648,0.5310835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
